1,55,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2021-01-31,YES
2,54,BM,2020,BM - 2020,7,2020-01-01,2020-12-31,YES
3,54,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2021-01-31,YES
4,10,INDIV TAX,2019,INDIV TAX - 2019,8,1900-01-01,1900-01-01,YES
5,10,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2021-01-31,YES
6,9,BM,2020,BM - 2020,7,2020-01-01,2020-12-31,YES
7,9,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2021-01-31,YES
8,81,TAX EQ,2019,TAX EQ - 2019,6,2020-01-01,2020-12-31,YES
9,0,CORP TAX,2019,CORP TAX - 2019,3,1900-01-01,1900-01-01,YES
10,52,CORP TAX,2018,CORP TAX - 2018,7,2019-01-01,2019-12-31,YES
11,51,NOTICE HANDLING - CTR,2020,NOTICE HANDLING - CTR - 2020,7,1900-01-01,1900-01-01,YES
12,34,AUD,2019,AUD - 2019,3,1900-01-01,1900-01-01,YES
13,107,CORP TAX,2019,CORP TAX - 2019,6,1900-01-01,1900-01-01,YES
14,0,INDIV TAX,2019,INDIV TAX - 2019,6,2020-03-24,2020-07-31,YES
15,24,BM,2020,BM - 2020,7,2020-01-01,2020-12-31,YES
16,24,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2021-01-31,YES
17,23,INDIV TAX,2019,INDIV TAX - 2019,7,2020-01-01,2020-12-31,YES
18,23,INDIV TAX,2020,INDIV TAX - 2020,7,2020-01-01,2020-12-31,YES
19,23,TAX AUDIT - ITR,2017,TAX AUDIT - ITR - 2017,7,2020-01-01,2020-12-31,YES
20,50,INDIV TAX,2019,INDIV TAX - 2019,7,2020-01-01,2020-04-30,YES
21,50,TAX EQ,2019,TAX EQ - 2019,7,2020-04-01,2020-12-31,YES
22,82,BM,2020,BM - 2020,9,2020-01-01,2020-12-31,YES
23,82,CORP TAX,2019,CORP TAX - 2019,9,2019-08-01,2019-12-31,YES
24,29,CORP TAX,2019,CORP TAX - 2019,6,2020-01-01,2021-05-31,YES
25,66,BM,2020,BM - 2020,6,2020-01-01,2020-12-31,YES
26,66,AUD,2019,AUD - 2019,3,1900-01-01,1900-01-01,YES
27,66,CORP TAX,2019,CORP TAX - 2019,3,1900-01-01,1900-01-01,YES
28,79,CORP TAX,2019,CORP TAX - 2019,6,2020-05-01,2020-12-31,YES
29,79,INDIV TAX,2019,INDIV TAX - 2019,6,2019-12-01,2020-12-31,YES
30,95,CORP TAX,2019,CORP TAX - 2019,8,1900-01-01,1900-01-01,YES
31,49,CORP TAX,2019,CORP TAX - 2019,7,2019-10-16,2020-10-15,YES
32,78,CORP TAX,2019,CORP TAX - 2019,6,2020-01-01,1900-01-01,YES
33,94,CORP TAX,2019,CORP TAX - 2019,3,1900-01-01,1900-01-01,YES
34,94,REV,2019,REV - 2019,3,1900-01-01,1900-01-01,YES
35,93,INDIV TAX,2019,INDIV TAX - 2019,6,2020-01-01,2020-12-31,YES
36,93,BM,2020,BM - 2020,3,1900-01-01,1900-01-01,YES
37,93,CORP TAX,2019,CORP TAX - 2019,3,1900-01-01,1900-01-01,YES
38,93,REV,2019,REV - 2019,3,1900-01-01,1900-01-01,YES
39,91,BM,2020,BM - 2020,3,1900-01-01,1900-01-01,YES
40,91,COMP,2019,COMP - 2019,3,1900-01-01,1900-01-01,YES
41,91,CORP TAX,2019,CORP TAX - 2019,3,1900-01-01,1900-01-01,YES
42,65,BM,2020,BM - 2020,3,1900-01-01,1900-01-01,YES
43,65,CORP TAX,2019,CORP TAX - 2019,3,2019-12-01,2020-10-31,YES
44,65,REV,2019,REV - 2019,3,1900-01-01,1900-01-01,YES
45,77,INDIV TAX,2019,INDIV TAX - 2019,6,2020-01-01,2020-12-31,YES
46,92,AUD,2019,AUD - 2019,3,1900-01-01,2020-06-30,YES
47,92,CORP TAX,2019,CORP TAX - 2019,3,1900-01-01,1900-01-01,YES
48,92,BM,2020,BM - 2020,6,2020-01-01,2021-01-31,YES
49,1,INDIV TAX,2019,INDIV TAX - 2019,7,2020-01-01,2020-12-31,YES
50,64,BM,2020,BM - 2020,3,1900-01-01,1900-01-01,YES
51,48,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2020-12-31,YES
52,13,BM,2020,BM - 2020,8,1900-01-01,1900-01-01,YES
53,13,CORP TAX,2019,CORP TAX - 2019,8,1900-01-01,1900-01-01,YES
54,0,BM,2020,BM - 2020,8,1900-01-01,1900-01-01,YES
55,0,CORP TAX,2019,CORP TAX - 2019,8,1900-01-01,1900-01-01,YES
56,76,BM,2020,BM - 2020,6,2020-01-01,2020-12-31,YES
57,76,CORP TAX,2018,CORP TAX - 2018,6,2019-08-01,2020-07-31,YES
58,76,CORP TAX,2019,CORP TAX - 2019,6,2020-01-01,2020-10-15,YES
59,75,BM,2020,BM - 2020,6,2020-01-01,2020-12-31,YES
60,75,CORP TAX,2018,CORP TAX - 2018,6,2020-01-01,2020-10-15,YES
61,75,CORP TAX,2019,CORP TAX - 2019,6,2020-01-01,2020-12-31,YES
62,75,HR,2020,HR - 2020,5,2020-01-27,2020-05-31,YES
63,8,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2021-01-31,YES
64,32,BM,2020,BM - 2020,9,2020-01-01,2020-12-31,YES
65,32,CORP TAX,2019,CORP TAX - 2019,9,2020-01-01,2020-12-31,YES
66,0,BM,2020,BM - 2020,9,2020-01-01,2020-12-31,YES
67,0,CORP TAX,2019,CORP TAX - 2019,9,2020-01-01,2020-12-31,YES
68,74,CORP TAX,2019,CORP TAX - 2019,6,2020-01-01,2020-04-15,YES
69,74,BM,2020,BM - 2020,9,2020-01-01,2020-12-31,YES
70,105,CORP TAX,2019,CORP TAX - 2019,3,1900-01-01,1900-01-01,YES
71,105,REV,2019,REV - 2019,3,1900-01-01,1900-01-01,YES
72,47,CORP TAX,2019,CORP TAX - 2019,7,2020-01-01,2021-01-31,YES
73,84,BM,2020,BM - 2020,3,1900-01-01,1900-01-01,YES
74,12,AMENDED TR - CTR,2015,AMENDED TR - CTR - 2015,3,1900-01-01,1900-01-01,YES
75,12,AMENDED TR - CTR,2016,AMENDED TR - CTR - 2016,3,1900-01-01,1900-01-01,YES
76,12,AMENDED TR - CTR,2017,AMENDED TR - CTR - 2017,3,1900-01-01,1900-01-01,YES
77,12,AMENDED TR - CTR,2018,AMENDED TR - CTR - 2018,3,1900-01-01,1900-01-01,YES
78,12,COMP,2019,COMP - 2019,3,1900-01-01,1900-01-01,YES
