"2018","1","1","8","40"
"2018","1","2","15","40"
"2018","1","3","22","40"
"2018","1","4","29","40"
"2018","2","1","5","40"
"2018","2","2","12","40"
"2018","2","3","19","40"
"2018","2","4","26","40"
"2018","3","1","5","40"
"2018","3","2","12","40"
"2018","3","3","19","40"
"2018","3","4","26","40"
"2018","4","1","2","40"
"2018","4","2","9","40"
"2018","4","3","16","40"
"2018","4","4","23","40"
"2018","4","5","30","40"
"2018","5","1","7","40"
"2018","5","2","14","40"
"2018","5","3","21","40"
"2018","5","4","28","40"
"2018","6","1","4","40"
"2018","6","2","11","40"
"2018","6","3","18","40"
"2018","6","4","25","40"
"2018","7","1","2","40"
"2018","7","2","9","40"
"2018","7","3","16","40"
"2018","7","4","23","40"
"2018","7","5","30","40"
"2018","8","1","6","40"
"2018","8","2","13","40"
"2018","8","3","20","40"
"2018","8","4","27","40"
"2018","9","1","3","40"
"2018","9","2","10","40"
"2018","9","3","17","40"
"2018","9","4","24","40"
"2018","10","1","1","40"
"2018","10","2","8","40"
"2018","10","3","15","40"
"2018","10","4","22","40"
"2018","10","5","29","40"
"2018","11","1","5","40"
"2018","11","2","12","40"
"2018","11","3","19","40"
"2018","11","4","26","40"
"2018","12","1","3","40"
"2018","12","2","10","40"
"2018","12","3","17","40"
"2018","12","4","24","40"
"2018","12","5","31","40"
"2019","1","0","7","40"
"2019","1","0","14","40"
"2019","1","0","21","40"
"2019","1","0","28","40"
"2019","2","0","4","40"
"2019","2","0","11","40"
"2019","2","0","18","40"
"2019","2","0","25","40"
"2019","3","0","4","40"
"2019","3","0","11","40"
"2019","3","0","18","40"
"2019","3","0","25","40"
"2019","4","0","1","40"
"2019","4","0","8","40"
"2019","4","0","15","40"
"2019","4","0","22","40"
"2019","4","0","29","40"
"2019","5","0","6","40"
"2019","5","0","13","40"
"2019","5","0","20","40"
"2019","5","0","27","40"
"2019","6","0","3","40"
"2019","6","0","10","40"
"2019","6","0","17","40"
"2019","6","0","24","40"
"2019","7","0","1","40"
"2019","7","0","8","40"
"2019","7","0","15","40"
"2019","7","0","22","40"
"2019","7","0","29","40"
"2019","8","0","5","40"
"2019","8","0","12","40"
"2019","8","0","19","40"
"2019","8","0","26","40"
"2019","9","0","2","40"
"2019","9","0","9","40"
"2019","9","0","16","40"
"2019","9","0","23","40"
"2019","9","0","30","40"
"2019","10","0","7","40"
"2019","10","0","14","40"
"2019","10","0","21","40"
"2019","10","0","28","40"
"2019","11","0","4","40"
"2019","11","0","11","40"
"2019","11","0","18","40"
"2019","11","0","25","40"
"2019","12","0","2","40"
"2019","12","0","9","40"
"2019","12","0","16","40"
"2019","12","0","23","40"
"2019","12","0","30","40"
"2020","1","1","6","40"
"2020","1","2","13","40"
"2020","1","3","20","40"
"2020","1","4","27","50"
"2020","2","1","3","40"
"2020","2","2","10","40"
"2020","2","3","17","40"
"2020","2","4","24","40"
"2020","3","1","2","40"
"2020","3","2","9","40"
"2020","3","3","16","40"
"2020","3","4","23","40"
"2020","3","5","30","40"
"2020","4","1","6","40"
"2020","4","2","13","40"
"2020","4","3","20","40"
"2020","4","4","27","40"
"2020","5","1","4","40"
"2020","5","2","11","40"
"2020","5","3","18","40"
"2020","5","4","25","40"
"2020","6","1","1","40"
"2020","6","2","8","40"
"2020","6","3","15","40"
"2020","6","4","22","40"
"2020","6","5","29","40"
"2020","7","1","6","40"
"2020","7","2","13","40"
"2020","7","3","20","40"
"2020","7","4","27","40"
"2020","8","1","3","40"
"2020","8","2","10","40"
"2020","8","3","17","40"
"2020","8","4","24","40"
"2020","8","5","31","40"
"2020","9","1","7","40"
"2020","9","2","14","40"
"2020","9","3","21","40"
"2020","9","4","28","40"
"2020","10","1","5","40"
"2020","10","2","12","40"
"2020","10","3","19","40"
"2020","10","4","26","40"
"2020","11","1","2","40"
"2020","11","2","9","40"
"2020","11","3","16","40"
"2020","11","4","23","40"
"2020","11","5","30","40"
"2020","12","1","7","40"
"2020","12","2","14","40"
"2020","12","3","21","40"
"2020","12","4","28","40"
"2021","1","0","4","40"
"2021","1","0","11","40"
"2021","1","0","18","40"
"2021","1","0","25","40"
"2021","2","0","1","40"
"2021","2","0","8","40"
"2021","2","0","15","40"
"2021","2","0","22","40"
"2021","3","0","1","40"
"2021","3","0","8","40"
"2021","3","0","15","40"
"2021","3","0","22","40"
"2021","3","0","29","40"
"2021","4","0","5","40"
"2021","4","0","12","40"
"2021","4","0","19","40"
"2021","4","0","26","40"
"2021","5","0","3","40"
"2021","5","0","10","40"
"2021","5","0","17","40"
"2021","5","0","24","40"
"2021","5","0","31","40"
"2021","6","0","7","40"
"2021","6","0","14","40"
"2021","6","0","21","40"
"2021","6","0","28","40"
"2021","7","0","5","40"
"2021","7","0","12","40"
"2021","7","0","19","40"
"2021","7","0","26","40"
"2021","8","0","2","40"
"2021","8","0","9","40"
"2021","8","0","16","40"
"2021","8","0","23","40"
"2021","8","0","30","40"
"2021","9","0","6","40"
"2021","9","0","13","40"
"2021","9","0","20","40"
"2021","9","0","27","40"
"2021","10","0","4","40"
"2021","10","0","11","40"
"2021","10","0","18","40"
"2021","10","0","25","40"
"2021","11","0","1","40"
"2021","11","0","8","40"
"2021","11","0","15","40"
"2021","11","0","22","40"
"2021","11","0","29","40"
"2021","12","0","6","40"
"2021","12","0","13","40"
"2021","12","0","20","40"
"2021","12","0","27","40"
